MAP,RED_SCORE,BLUE_SCORE,WINNER,RED_1,RED_2,RED_3,RED_4,RED_5,BLUE_1,BLUE_2,BLUE_3,BLUE_4,BLUE_5
3,396,500,,mes,mes,t,ran,g,necro,ran,mes,war,g
2,501,476,,ran,mes,g,engi,mes,ran,ran,war,ran,engi
2,361,501,,war,ele,ran,ran,necro,ran,ele,g,war,engi
2,475,500,,war,g,ran,g,ele,g,mes,t,g,g
2,500,460,,mes,ran,g,war,war,ran,necro,mes,ran,g
3,373,500,,g,ran,g,engi,necro,g,war,ran,war,engi
1,403,500,,t,mes,g,ele,necro,necro,ran,ran,war,engi
2,501,345,,necro,ran,t,necro,ran,necro,mes,necro,ran,mes
3,286,501,,ran,mes,necro,necro,necro,ran,ran,war,ele,0
2,500,174,,ran,engi,g,ran,necro,war,ran,ran,ele,t
2,156,501,,ran,necro,t,ran,0,ran,ran,ele,g,necro
2,484,502,,ran,ran,war,g,necro,t,necro,war,ele,war
4,230,500,,necro,t,ran,ele,g,g,g,t,necro,ele
4,491,500,,ran,g,g,t,ran,war,necro,ele,engi,engi
1,412,500,,engi,engi,ran,war,ran,engi,g,necro,ran,engi
2,227,500,,ran,ran,necro,engi,engi,ran,engi,war,ele,t
4,501,327,,mes,war,g,t,ran,necro,necro,ran,t,g
2,431,501,,engi,ran,necro,ele,engi,mes,ele,ran,ran,t
3,246,501,,t,t,ele,war,ele,ran,necro,t,mes,mes
2,500,405,,necro,engi,t,ran,mes,g,ele,mes,ran,engi
3,481,500,,ran,t,mes,ran,mes,ran,mes,mes,necro,ran
1,501,370,,ran,ran,g,mes,necro,necro,t,war,t,ran
1,185,501,,g,g,ran,mes,0,g,ele,ran,ran,war
2,504,370,,ran,necro,ran,ele,t,g,ran,engi,war,engi
3,281,500,,mes,t,ran,mes,necro,ran,t,mes,g,t
3,501,133,,mes,mes,t,necro,war,war,ran,mes,necro,0
2,228,500,,ran,war,ran,t,t,ran,t,ele,g,g
1,502,354,,mes,ran,necro,war,war,mes,engi,necro,war,t
2,293,501,,g,ran,t,war,ele,ran,mes,mes,t,war
2,366,500,,g,necro,ele,ran,t,necro,ran,engi,g,engi
2,467,500,,ran,engi,ran,t,t,ele,ele,ran,g,necro
4,501,406,,mes,ran,ran,war,ele,war,ran,ele,g,ran
4,501,269,,ran,mes,necro,war,ran,mes,war,mes,ran,war
4,501,316,,g,necro,t,ele,t,ele,ran,mes,engi,war
3,406,501,,war,t,necro,mes,ran,g,ran,ran,g,ran
4,462,500,,ran,ran,ele,war,t,war,ran,mes,mes,ele
4,500,354,,g,g,ele,ele,mes,ele,ran,ran,g,war
2,500,473,,ran,ran,mes,war,mes,ran,t,g,war,ele
2,500,449,,ran,necro,g,mes,ele,t,engi,t,t,ran
1,500,234,,ran,t,t,g,ele,g,ele,t,g,ran
2,500,464,,g,ran,ran,war,ele,mes,necro,ele,engi,g
3,196,501,,mes,g,ran,ran,ele,ran,t,ran,engi,war
2,304,511,,necro,war,necro,mes,necro,necro,engi,ran,ran,necro
2,454,500,,ran,ran,engi,ele,t,ran,ele,t,ele,engi
3,388,500,,war,ele,ran,t,t,t,ran,war,necro,war
2,503,211,,engi,g,ele,necro,war,mes,g,ran,g,war
2,500,396,,war,ran,necro,ele,mes,necro,g,mes,mes,ran
2,434,501,,ran,mes,g,ele,war,engi,engi,necro,ran,g
2,263,500,,ran,necro,g,ran,ran,necro,necro,g,ran,ran
2,500,389,,ran,engi,mes,necro,ran,mes,g,ran,engi,war
2,500,340,,g,mes,t,war,ran,ran,ele,t,t,war
4,500,211,,g,ele,necro,ran,g,ran,ran,war,g,engi
4,500,410,,ran,g,mes,t,g,ran,necro,necro,mes,t
3,617,280,,engi,ran,war,war,necro,mes,ran,necro,t,0
2,500,390,,ran,t,g,engi,ran,necro,war,ran,g,0
4,169,500,,ele,t,ran,ran,mes,mes,g,ran,war,t
2,354,501,,ran,war,g,ele,t,ran,ran,t,mes,ele
3,376,501,,ele,t,mes,war,ran,ran,necro,ran,ran,mes
3,525,262,,ran,t,mes,g,ele,ele,war,war,t,ran
3,460,528,,t,ran,ran,mes,g,t,war,t,ran,ran
2,501,142,,ele,ele,war,ran,engi,engi,ran,t,war,0
4,505,360,,necro,necro,ran,necro,ran,t,ran,engi,war,engi
2,378,500,,necro,ran,necro,war,mes,ran,ran,war,t,mes
3,501,364,,ran,ran,ele,g,war,necro,war,ele,mes,ran
1,353,500,,war,g,ran,engi,necro,ran,ran,mes,mes,t
3,83,501,,ran,ran,ran,mes,necro,ele,necro,t,ran,war
3,501,423,,g,mes,war,t,ran,ran,t,ran,war,g
2,358,501,,ele,mes,ran,necro,mes,ele,t,necro,t,g
2,389,500,,t,mes,engi,necro,ele,ran,ele,necro,t,g
2,502,404,,ran,ran,t,g,ele,ran,ran,mes,ran,t
1,398,500,,necro,war,t,ele,g,t,ran,ran,t,war
3,504,299,,t,war,g,g,ran,g,g,war,ele,ran
2,286,500,,g,g,t,g,ele,necro,war,ran,necro,ran
2,286,500,,g,g,t,ele,0,necro,war,ran,necro,ran
3,201,527,,ran,ran,mes,war,0,war,ran,t,g,ele
3,437,500,,ran,ele,t,t,war,ele,ele,war,engi,g
1,433,501,,engi,ele,war,ele,t,ran,mes,t,ran,t
